timestamp,signal_type
2025-07-31 23:34:00,sell
2025-08-01 00:42:00,buy
2025-08-01 01:25:00,sell
2025-08-01 01:31:00,buy
2025-08-01 01:32:00,sell
2025-08-01 02:13:00,buy
2025-08-01 02:41:00,sell
2025-08-01 02:45:00,buy
2025-08-01 02:47:00,sell
2025-08-01 02:51:00,buy
2025-08-01 04:11:02,sell
2025-08-01 04:19:00,buy
2025-08-01 04:46:00,sell
2025-08-01 05:01:00,buy
2025-08-01 05:16:00,sell
2025-08-01 05:24:00,buy
2025-08-01 06:28:00,sell
2025-08-01 08:46:00,buy
2025-08-01 14:52:00,sell
2025-08-01 15:08:00,buy
2025-08-01 16:05:00,sell
2025-08-01 16:57:00,buy
2025-08-03 23:31:00,sell
2025-08-03 23:50:00,buy
2025-08-04 00:04:00,sell
2025-08-04 02:17:00,buy
2025-08-04 05:21:00,sell
2025-08-04 06:13:00,buy
2025-08-04 06:23:00,sell
2025-08-04 06:39:00,buy
2025-08-04 07:20:00,sell
2025-08-04 08:20:00,buy
2025-08-04 09:57:00,sell
2025-08-04 11:02:00,buy
2025-08-04 12:31:00,sell
2025-08-04 12:49:00,buy
2025-08-04 14:46:00,sell
2025-08-04 16:08:00,buy
2025-08-04 16:26:00,sell
2025-08-04 17:48:00,buy
2025-08-04 23:31:00,buy
2025-08-05 00:28:00,sell
2025-08-05 00:31:00,buy
2025-08-05 02:00:00,sell
2025-08-05 02:12:00,buy
2025-08-05 02:20:00,sell
2025-08-05 05:48:00,buy
2025-08-05 06:06:00,sell
2025-08-05 07:12:00,buy
2025-08-05 08:43:00,sell
2025-08-05 12:21:00,buy
2025-08-05 16:19:00,sell
2025-08-05 23:31:00,buy
2025-08-06 00:43:00,sell
2025-08-06 03:20:00,buy
2025-08-06 03:32:00,sell
2025-08-06 04:18:00,buy
2025-08-06 04:25:00,sell
2025-08-06 04:41:00,buy
2025-08-06 04:43:00,sell
2025-08-06 05:59:00,buy
2025-08-06 07:02:00,sell
2025-08-06 07:42:00,buy
2025-08-06 08:04:00,sell
2025-08-06 10:28:00,buy
2025-08-06 10:36:00,sell
2025-08-06 10:52:00,buy
2025-08-06 11:02:00,sell
2025-08-06 11:13:00,buy
2025-08-06 12:11:00,sell
2025-08-06 12:25:00,buy
2025-08-06 12:32:00,sell
2025-08-06 12:33:00,buy
2025-08-06 12:36:00,sell
2025-08-06 12:45:00,buy
2025-08-06 15:37:00,sell
2025-08-06 15:47:00,buy
2025-08-06 16:15:00,sell
2025-08-06 16:42:00,buy
2025-08-06 16:51:00,sell
2025-08-06 17:02:00,buy
2025-08-06 17:13:00,sell
2025-08-06 17:41:00,buy
2025-08-06 18:02:00,sell
2025-08-06 18:47:00,buy
2025-08-06 19:01:00,sell
2025-08-06 19:18:00,buy
2025-08-06 19:30:00,sell
2025-08-06 23:31:03,sell
2025-08-07 00:16:11,buy
2025-08-07 03:02:02,sell
2025-08-07 03:52:01,buy
2025-08-07 04:09:05,sell
2025-08-07 04:19:01,buy
2025-08-07 04:28:00,sell
2025-08-07 04:36:00,buy
2025-08-07 04:37:04,sell
2025-08-07 04:52:01,buy
2025-08-07 04:54:00,sell
2025-08-07 04:56:00,buy
2025-08-07 04:57:13,sell
2025-08-07 05:04:01,buy
2025-08-07 05:16:11,sell
2025-08-07 05:29:00,buy
2025-08-07 05:32:04,sell
2025-08-07 06:11:04,buy
2025-08-07 08:07:09,sell
2025-08-07 11:12:04,buy
2025-08-07 12:02:04,sell
2025-08-07 12:04:00,buy
2025-08-07 12:10:01,sell
2025-08-07 12:19:00,buy
2025-08-07 14:02:04,sell
2025-08-07 14:15:01,buy
2025-08-07 14:22:00,sell
2025-08-07 14:36:00,buy
2025-08-07 15:26:01,sell
2025-08-07 15:35:03,buy
2025-08-07 15:42:01,sell
2025-08-07 15:48:16,buy
2025-08-07 16:36:00,sell
2025-08-07 17:31:00,buy
2025-08-07 18:34:00,sell
2025-08-07 23:31:00,sell
2025-08-07 23:34:00,buy
2025-08-08 00:02:00,sell
2025-08-08 00:07:00,buy
2025-08-08 00:16:00,sell
2025-08-08 02:32:00,buy
2025-08-08 03:07:00,sell
2025-08-08 03:25:00,buy
2025-08-08 05:03:00,sell
2025-08-08 06:06:00,buy
2025-08-08 06:21:00,sell
2025-08-08 06:29:00,buy
2025-08-08 06:34:00,sell
2025-08-08 06:58:00,buy
2025-08-08 07:41:01,sell
2025-08-08 07:43:00,buy
2025-08-08 08:47:00,sell
2025-08-08 09:14:00,buy
2025-08-08 09:32:00,sell
2025-08-08 09:36:00,buy
2025-08-08 10:11:00,sell
2025-08-08 12:11:00,buy
2025-08-08 13:24:00,sell
2025-08-08 13:32:00,buy
2025-08-08 13:35:00,sell
2025-08-08 13:39:01,buy
2025-08-08 14:09:00,sell
2025-08-08 15:18:00,buy
2025-08-10 23:31:00,sell
2025-08-11 02:50:00,buy
2025-08-11 03:13:00,sell
2025-08-11 03:15:00,buy
2025-08-11 03:35:00,sell
2025-08-11 03:56:00,buy
2025-08-11 04:48:00,sell
2025-08-11 05:13:00,buy
2025-08-11 05:32:00,sell
2025-08-11 05:48:00,buy
2025-08-11 06:01:00,sell
2025-08-11 08:25:00,buy
2025-08-11 08:50:00,sell
2025-08-11 09:28:00,buy
2025-08-11 09:33:00,sell
2025-08-11 10:17:00,buy
2025-08-11 10:51:00,sell
2025-08-11 12:50:00,buy
2025-08-11 13:06:00,sell
2025-08-11 13:33:00,buy
2025-08-11 14:29:00,sell
2025-08-11 17:36:00,buy
2025-08-11 19:20:00,sell
2025-08-11 23:32:00,buy
2025-08-12 01:26:00,sell
2025-08-12 01:52:00,buy
2025-08-12 01:55:00,sell
2025-08-12 02:03:00,buy
2025-08-12 02:20:00,sell
2025-08-12 02:30:00,buy
2025-08-12 02:43:00,sell
2025-08-12 02:51:00,buy
2025-08-12 03:22:00,sell
2025-08-12 04:13:00,buy
2025-08-12 04:31:00,sell
2025-08-12 04:35:00,buy
2025-08-12 05:45:00,sell
2025-08-12 05:58:00,buy
2025-08-12 06:03:00,sell
2025-08-12 07:30:00,buy
2025-08-12 08:29:00,sell
2025-08-12 09:10:00,buy
2025-08-12 09:26:00,sell
2025-08-12 10:19:00,buy
2025-08-12 10:36:00,sell
2025-08-12 11:45:00,buy
2025-08-12 12:12:00,sell
2025-08-12 12:31:00,buy
2025-08-12 13:13:00,sell
2025-08-12 13:31:00,buy
2025-08-12 13:33:00,sell
2025-08-12 13:45:00,buy
2025-08-12 13:54:00,sell
2025-08-12 13:57:00,buy
2025-08-12 13:59:00,sell
2025-08-12 15:14:00,buy
2025-08-12 17:28:00,sell
2025-08-12 17:38:00,buy
2025-08-12 17:43:00,sell
2025-08-12 17:46:00,buy
2025-08-12 17:48:00,sell
2025-08-12 17:59:00,buy
2025-08-12 18:24:00,sell
2025-08-12 18:33:00,buy
2025-08-12 18:40:00,sell
2025-08-12 18:55:00,buy
2025-08-12 19:06:00,sell
2025-08-12 23:33:00,buy
2025-08-12 23:49:00,sell
2025-08-13 01:14:00,buy
2025-08-13 01:23:00,sell
2025-08-13 01:37:00,buy
2025-08-13 02:10:00,sell
2025-08-13 02:19:00,buy
2025-08-13 03:17:00,sell
2025-08-13 03:24:00,buy
2025-08-13 03:34:00,sell
2025-08-13 03:43:00,buy
2025-08-13 03:49:00,sell
2025-08-13 04:14:00,buy
2025-08-13 04:31:00,sell
2025-08-13 04:41:00,buy
2025-08-13 04:49:00,sell
2025-08-13 04:53:00,buy
2025-08-13 05:10:00,sell
2025-08-13 05:29:00,buy
2025-08-13 05:33:00,sell
2025-08-13 06:01:00,buy
2025-08-13 07:59:00,sell
2025-08-13 08:34:00,buy
2025-08-13 11:09:00,sell
2025-08-13 13:36:00,buy
2025-08-13 14:29:00,buy
2025-08-13 14:59:00,sell
2025-08-13 16:29:00,buy
2025-08-13 16:39:00,sell
2025-08-13 16:51:00,buy
2025-08-13 16:56:00,sell
2025-08-13 17:16:00,buy
2025-08-13 17:26:00,sell
2025-08-13 19:20:00,buy
2025-08-13 23:30:00,buy
2025-08-14 01:24:00,sell
2025-08-14 01:48:00,buy
2025-08-14 01:58:00,sell
2025-08-14 02:11:00,buy
2025-08-14 02:20:00,sell
2025-08-14 02:43:00,buy
2025-08-14 02:48:00,sell
2025-08-14 04:31:00,buy
2025-08-14 04:34:00,sell
2025-08-14 04:40:00,buy
2025-08-14 05:02:00,sell
2025-08-14 05:07:00,buy
2025-08-14 05:22:00,sell
2025-08-14 06:11:00,buy
2025-08-14 06:18:00,sell
2025-08-14 06:52:00,buy
2025-08-14 07:34:00,sell
2025-08-14 09:09:00,buy
2025-08-14 10:46:00,sell
2025-08-14 11:03:00,buy
2025-08-14 11:10:00,sell
2025-08-14 11:37:00,buy
2025-08-14 11:41:00,sell
2025-08-14 11:55:00,buy
2025-08-14 12:16:00,sell
2025-08-14 12:26:00,buy
2025-08-14 12:27:00,sell
2025-08-14 12:47:00,buy
2025-08-14 12:55:00,sell
2025-08-14 13:06:00,buy
2025-08-14 13:21:00,sell
2025-08-14 15:51:00,buy
2025-08-14 16:04:00,sell
2025-08-14 17:16:00,buy
2025-08-14 17:41:00,sell
2025-08-14 17:44:00,buy
2025-08-14 23:33:00,buy
2025-08-15 00:04:00,sell
2025-08-15 00:08:00,buy
2025-08-15 00:12:00,sell
2025-08-15 00:25:00,buy
2025-08-15 01:20:00,sell
2025-08-15 01:30:00,buy
2025-08-15 05:23:03,sell
2025-08-15 05:43:00,buy
2025-08-15 05:51:00,sell
2025-08-15 07:21:00,buy
2025-08-15 07:36:00,sell
2025-08-15 07:45:00,buy
2025-08-15 08:15:00,sell
2025-08-15 09:21:01,buy
2025-08-15 09:39:00,sell
2025-08-15 09:48:00,buy
2025-08-15 09:50:00,sell
2025-08-15 09:55:00,buy
2025-08-15 10:03:00,sell
2025-08-15 10:04:00,buy
2025-08-15 10:05:01,sell
2025-08-15 11:32:00,buy
2025-08-15 12:09:00,sell
2025-08-15 12:40:00,buy
2025-08-15 13:17:00,sell
2025-08-15 14:08:00,buy
2025-08-15 16:04:00,sell
2025-08-17 23:45:00,sell
2025-08-18 00:12:00,buy
2025-08-18 05:30:00,sell
2025-08-18 07:07:00,buy
2025-08-18 07:36:00,sell
2025-08-18 08:57:00,buy
2025-08-18 09:18:00,sell
2025-08-18 09:35:00,buy
2025-08-18 09:50:00,sell
2025-08-18 09:57:00,buy
2025-08-18 10:00:00,sell
2025-08-18 10:04:05,buy
2025-08-18 10:06:00,sell
2025-08-18 10:08:00,buy
2025-08-18 10:25:00,sell
2025-08-18 10:33:00,buy
2025-08-18 10:36:00,sell
2025-08-18 10:37:00,buy
2025-08-18 10:41:00,sell
2025-08-18 10:42:00,buy
2025-08-18 10:47:00,sell
2025-08-18 12:39:00,buy
2025-08-18 12:48:00,sell
2025-08-18 15:50:00,buy
2025-08-18 15:54:00,sell
2025-08-18 15:58:00,buy
2025-08-18 16:05:00,sell
2025-08-18 17:00:00,buy
2025-08-18 17:02:00,sell
2025-08-18 17:17:00,buy
2025-08-18 17:20:00,sell
2025-08-18 17:40:00,buy
2025-08-18 18:03:00,sell
2025-08-18 18:07:00,buy
2025-08-18 18:11:00,sell
2025-08-18 23:31:00,sell
2025-08-19 00:11:00,buy
2025-08-19 00:52:00,sell
2025-08-19 01:21:00,buy
2025-08-19 01:30:00,sell
2025-08-19 01:46:00,buy
2025-08-19 02:00:00,sell
2025-08-19 02:25:00,buy
2025-08-19 02:47:00,sell
2025-08-19 02:48:00,buy
2025-08-19 04:07:00,sell
2025-08-19 04:25:00,buy
2025-08-19 04:28:00,sell
2025-08-19 04:35:00,buy
2025-08-19 04:37:00,sell
2025-08-19 04:59:00,buy
2025-08-19 05:53:00,sell
2025-08-19 06:12:00,buy
2025-08-19 06:18:00,sell
2025-08-19 06:20:00,buy
2025-08-19 06:24:00,sell
2025-08-19 07:06:00,buy
2025-08-19 08:09:00,sell
2025-08-19 08:23:00,buy
2025-08-19 08:33:00,sell
2025-08-19 08:42:00,buy
2025-08-19 08:58:00,sell
2025-08-19 09:02:00,buy
2025-08-19 09:06:00,sell
2025-08-19 09:43:00,buy
2025-08-19 11:31:00,sell
2025-08-19 13:42:00,buy
2025-08-19 14:00:00,sell
2025-08-19 14:05:00,buy
2025-08-19 14:11:00,sell
2025-08-19 14:32:00,buy
2025-08-19 14:33:00,sell
2025-08-19 18:18:00,buy
2025-08-19 18:45:00,sell
2025-08-19 18:48:00,buy
2025-08-19 19:01:00,sell
2025-08-19 23:33:00,sell
2025-08-19 23:37:00,buy
2025-08-19 23:42:00,sell
2025-08-20 00:12:00,buy
2025-08-20 00:15:00,sell
2025-08-20 00:50:00,buy
2025-08-20 01:05:00,sell
2025-08-20 01:19:00,buy
2025-08-20 01:26:00,sell
2025-08-20 01:41:00,buy
2025-08-20 02:07:00,sell
2025-08-20 02:19:00,buy
2025-08-20 02:30:00,sell
2025-08-20 02:53:00,buy
2025-08-20 05:24:00,sell
2025-08-20 05:34:00,buy
2025-08-20 08:02:00,sell
2025-08-20 08:52:00,buy
2025-08-20 10:23:00,sell
2025-08-20 10:31:00,buy
2025-08-20 11:04:00,sell
2025-08-20 11:05:00,buy
2025-08-20 15:11:00,sell
2025-08-20 16:11:00,buy
2025-08-20 18:07:00,sell
2025-08-20 18:35:00,buy
2025-08-20 18:44:00,sell
2025-08-20 18:45:00,buy
2025-08-21 00:07:01,sell
2025-08-21 01:37:00,buy
2025-08-21 01:56:00,sell
2025-08-21 02:47:00,buy
2025-08-21 03:30:00,sell
2025-08-21 05:35:00,buy
2025-08-21 05:59:00,sell
2025-08-21 06:13:00,buy
2025-08-21 06:14:00,sell
2025-08-21 07:15:00,buy
2025-08-21 08:48:00,sell
2025-08-21 08:54:00,buy
2025-08-21 09:01:00,sell
2025-08-21 09:09:00,buy
2025-08-21 09:20:00,sell
2025-08-21 09:32:00,buy
2025-08-21 09:36:00,sell
2025-08-21 09:41:00,buy
2025-08-21 10:18:00,sell
2025-08-21 11:59:00,buy
2025-08-21 13:46:00,sell
2025-08-21 14:10:00,buy
2025-08-21 14:46:00,sell
2025-08-21 14:56:00,buy
2025-08-21 15:05:00,sell
2025-08-21 15:30:00,buy
2025-08-21 16:02:00,sell
2025-08-21 16:10:00,buy
2025-08-21 16:14:00,sell
2025-08-21 18:51:00,buy
2025-08-21 23:31:00,sell
2025-08-21 23:38:00,buy
2025-08-21 23:54:00,sell
2025-08-22 00:35:00,buy
2025-08-22 00:41:00,sell
2025-08-22 00:50:00,buy
2025-08-22 01:22:00,sell
2025-08-22 01:47:00,buy
2025-08-22 01:50:00,sell
2025-08-22 03:38:00,buy
2025-08-22 03:48:00,sell
2025-08-22 05:46:00,buy
2025-08-22 06:01:00,sell
2025-08-22 06:10:00,buy
2025-08-22 06:13:00,sell
2025-08-22 06:19:00,buy
2025-08-22 06:21:00,sell
2025-08-22 07:00:00,buy
2025-08-22 07:44:00,sell
2025-08-22 08:27:00,buy
2025-08-22 08:46:00,sell
2025-08-22 08:50:00,buy
2025-08-22 10:22:00,sell
2025-08-22 10:34:00,buy
2025-08-22 10:43:00,sell
2025-08-22 10:47:00,buy
2025-08-22 11:08:00,sell
2025-08-22 11:37:00,buy
2025-08-22 11:42:00,sell
2025-08-22 12:20:00,buy
2025-08-22 12:26:00,sell
2025-08-22 13:18:00,buy
2025-08-22 16:27:00,sell
2025-08-22 16:34:00,buy
2025-08-22 16:35:00,sell
2025-08-22 16:37:00,buy
2025-08-22 16:43:00,sell
2025-08-22 17:02:00,buy
2025-08-22 18:21:00,sell
2025-08-22 18:32:00,buy
2025-08-22 18:42:00,sell
2025-08-22 18:49:00,buy
2025-08-22 18:58:00,sell
